Alternative New Code,D365 Name,Serial Required
2050028670,"SWIVEL CPL, 30T-80/61-195, 203492, BG28",no
1050002850,"WIRE CUP BRUSH, 5'' 5/8-11, WALTER",no
1050002860,"WIRE CUP BRUSH, 6'' 5/8-11, WALTER",no
1050000200,"CUTTING DISC, 4''/105 X 1.2 X 16 MM, BOSCH",no
2020008200,"DISTRIBUTION BOARD, ACTI9",no
1050002870,"FLAP DISC, 4"", Ø80 GRIT",no
1050002880,"FLAP DISC, ROUND ABRASIVE, XTRA POWER, 5""",no
1050002330,"FLAPPER DISC, 180 X 22.23 60 GRID, BOSCH",no
1050002890,"GRINDING DISC, 4"",  METAL, 100 X 6 X 16 MM, BOSCH",no
1050003600,"NOZZLE, CUTTING, 3/64",no
1050008380,"WELDING WIRE, MIG, 70S-6, 1.2MM, 15 KGS",no
1050008390,"MIG WIRE, MILD STEEL, 0.8MM, 5KG",no
2070030300,"HOSE, OXYGEN, BLUE, 8MM x 1M",no
2070030310,"HOSE, ACETYLENE, RED, 8MM x 1M",no
2070034770,"THERMAL CUTTING LANCE, 15NB",no
1050008570,"ELECTRODE HOLDER, JACKSON TYPE, 500 AMPS",no
2020011100,"WIRE, 35.2MM, A11VLO260, ITEM 17",no
2020011110,"WIRE, 35.2MM, A11VO60, ITEM 17",no
